--------------------------------------------------------------------------------
publication + genre + date
--------------------------------------------------------------------------------
10, Nature, Comments and Opinion, 2006
10, Nature Chemical Biology, Research, 2014
10, Nature Climate Change, Editorial, 2012
10, Nature, Special Features, 2009
10, Nature Geoscience, Research Highlights, 2007
9, Nature, Research Highlights, 2013
9, Scientific American, None, 2013
9, Nature Geoscience, Research Highlights, 2013
9, Nature, Research Highlights, 2011
9, Scientific American, Special Features, 1998
9, Nature Geoscience, Reviews, 2008
9, Nature Climate Change, Special Features, 2011
9, Nature Geoscience, Research Highlights, 2009
9, Scientific American, Special Features, 2003
9, Scientific American, Special Features, 2000
9, Nature Geoscience, Reviews, 2012
9, Nature Climate Change, Editorial, 2014
9, Nature Climate Change, Correspondence, 2012
9, Nature Geoscience, Comments and Opinion, 2014
9, Nature, Special Features, 2003
9, Nature Climate Change, News, 2012
9, Nature, Editorial, 2006
9, Nature, News, 1998
9, Nature Geoscience, Research Highlights, 2008
9, Nature Reports Climate Change, Special Features, 2009
9, Nature, News, 2015
9, Nature Climate Change, Correspondence, 2013
8, Nature, Reviews, 2006
8, Nature, Editorial, 2013
8, Scientific American, None, 2008
8, Scientific American, Special Features, 1999
8, Nature Geoscience, News, 2008
8, Nature Geoscience, Correspondence, 2010
8, Nature Geoscience, Research Highlights, 2012
8, Nature Climate Change, Editorial, 2011
8, Scientific American, Special Features, 2002
8, Nature Geoscience, Comments and Opinion, 2012
8, Nature Chemistry, Research, 2011
8, The ISME Journal, Reviews, 2014
8, Nature Reports Climate Change, News, 2007
8, Scientific American, Special Features, 2004
8, Nature News, News, 1998
7, Scientific American, None, 2001
7, Nature Geoscience, Reviews, 2010
7, Nature, Correspondence, 2008
7, Scientific American, None, 2014
7, Scientific American, None, 1998
7, Nature Geoscience, Reviews, 2014
7, Nature, Reviews, 2010
7, Nature News, News, 2007
7, Nature Chemistry, Research, 2013
7, Nature Reports Climate Change, Research Highlights, 2010
7, Scientific American, None, 2005
7, Scientific American, None, 2010
7, Nature, Reviews, 2014
7, Scientific American, None, 2007
7, The ISME Journal, Comments and Opinion, 2007
7, Nature Climate Change, Reviews, 2011
7, Nature, Research Highlights, 2008
7, Nature Climate Change, News, 2011
6, Nature Geoscience, Special Features, 2012
6, Nature, Research Highlights, 2009
6, Nature, Editorial, 2010
6, Nature Reviews Microbiology, Research Highlights, 2012
6, Nature Geoscience, Research, 2007
6, Nature Geoscience, Editorial, 2010
6, Nature Geoscience, Comments and Opinion, 2008
6, Nature, News, 1999
6, Nature, Editorial, 2012
6, Nature, News and Views, 2015
6, The ISME Journal, Reviews, 2008
6, Nature Climate Change, Comments and Opinion, 2015
6, Nature Climate Change, Research Highlights, 2010
6, Nature Chemical Biology, Research, 2013
6, Nature, None, 2000
6, Nature Geoscience, Comments and Opinion, 2010
6, Nature Chemical Biology, Research, 2012
6, Nature, Special Features, 2005
6, Nature Climate Change, Correspondence, 2011
6, Scientific American, None, 2012
6, Nature Geoscience, Correspondence, 2009
6, Nature, Research Highlights, 2010
6, Nature, Research Highlights, 2012
6, The ISME Journal, Comments and Opinion, 2008
5, Nature Climate Change, Reviews, 2015
5, Nature Reports Climate Change, News, 2009
5, Nature Geoscience, Editorial, 2013
5, Nature Reviews Microbiology, Research Highlights, 2007
5, Nature Reports Climate Change, Editorial, 2008
5, Nature, Editorial, 2004
5, Nature Geoscience, Editorial, 2009
5, Nature Reviews Microbiology, Research Highlights, 2008
5, Nature, Research Highlights, 2006
5, Nature Geoscience, Comments and Opinion, 2011
5, Nature Reviews Microbiology, Research Highlights, 2011
5, Nature Geoscience, Editorial, 2014
5, Nature Reviews Microbiology, Reviews, 2015
5, Scientific American, None, 2006
5, Nature Geoscience, Reviews, 2011
5, Nature Geoscience, News and Views, 2015
5, The ISME Journal, Comments and Opinion, 2011
5, Nature Reviews Microbiology, Research Highlights, 2014
5, Nature, Correspondence, 2007
5, Nature Geoscience, Comments and Opinion, 2013
5, Nature Geoscience, Correspondence, 2012
5, Scientific American, Special Features, 2001
5, The ISME Journal, Reviews, 2007
5, Nature Geoscience, News, 2009
5, Nature Geoscience, Editorial, 2011
5, Nature Climate Change, News and Views, 2015
4, Nature, Reviews, 2005
4, Nature Reports Climate Change, Comments and Opinion, 2010
4, Nature Reviews Microbiology, Research Highlights, 2005
4, Nature, Special Features, 2007
4, Nature, Editorial, 2007
4, The ISME Journal, Reviews, 2012
4, Nature Climate Change, Special Features, 2012
4, Nature, Editorial, 2011
4, Nature Geoscience, Editorial, 2012
4, Nature, Special Features, 2008
4, Nature Reviews Microbiology, News, 2007
4, Scientific American, None, 2002
4, Nature, Reviews, 2001
4, Nature, Correspondence, 2014
4, Scientific American, None, 1999
4, Nature Geoscience, Correspondence, 2014
4, Nature Geoscience, Correspondence, 2013
4, Nature, Correspondence, 2012
4, Nature Reviews Microbiology, Reviews, 2003
4, Nature Climate Change, Editorial, 2013
4, Nature Reports Climate Change, Special Features, 2007
4, Nature, Reviews, 1998
4, Nature, Special Features, 2006
4, Nature Chemical Biology, Reviews, 2014
4, Scientific American, None, 2003
3, Nature Chemistry, Research, 2014
3, Nature Reviews Microbiology, Correspondence, 2009
